i, 8, maxT, 8, method, relaxed, obj, -874.30543995, running time, 0.164053201675, 
i, 8, maxT, 9, method, 1, obj, -1007.1413966, running time, 3.58475708961, 
i, 8, maxT, 9, method, 2, obj, -1424.60904813, running time, 2.3262860775, 
i, 8, maxT, 9, method, relaxed, obj, -874.30543995, running time, 0.175517082214, 
i, 8, maxT, 10, method, 1, obj, -1007.44853585, running time, 4.53594589233, 
i, 8, maxT, 10, method, 2, obj, -1425.06934515, running time, 1.90560793877, 
i, 8, maxT, 10, method, relaxed, obj, -874.30543995, running time, 0.174393892288, 
i, 9, maxT, 1, method, 1, obj, -636.394914043, running time, 0.441434860229, 
i, 9, maxT, 1, method, 2, obj, -636.937337374, running time, 1.20111203194, 
i, 9, maxT, 1, method, relaxed, obj, -338.24811502, running time, 0.158199071884, 
i, 9, maxT, 2, method, 1, obj, -451.12264626, running time, 1.43207097054, 
i, 9, maxT, 2, method, 2, obj, -506.426028936, running time, 2.43983197212, 
i, 9, maxT, 2, method, relaxed, obj, -338.24811502, running time, 0.125794172287, 
i, 9, maxT, 3, method, 1, obj, -450.063564707, running time, 1.35086894035, 
i, 9, maxT, 3, method, 2, obj, -468.706673366, running time, 2.29651117325, 
i, 9, maxT, 3, method, relaxed, obj, -338.24811502, running time, 0.148483991623, 
i, 9, maxT, 4, method, 1, obj, -449.944487709, running time, 1.26156401634, 
i, 9, maxT, 4, method, 2, obj, -465.458942539, running time, 1.54988002777, 
i, 9, maxT, 4, method, relaxed, obj, -338.24811502, running time, 0.166805028915, 
i, 9, maxT, 5, method, 1, obj, -449.940419534, running time, 1.21226882935, 
i, 9, maxT, 5, method, 2, obj, -466.274364799, running time, 1.63579511642, 
i, 9, maxT, 5, method, relaxed, obj, -338.24811502, running time, 0.157235145569, 
i, 9, maxT, 6, method, 1, obj, -449.953980117, running time, 1.2451031208, 
i, 9, maxT, 6, method, 2, obj, -463.957489387, running time, 1.71904206276, 
i, 9, maxT, 6, method, relaxed, obj, -338.24811502, running time, 0.16042804718, 
i, 9, maxT, 7, method, 1, obj, -449.989237633, running time, 1.42453694344, 
i, 9, maxT, 7, method, 2, obj, -462.22797396, running time, 1.5319647789, 
i, 9, maxT, 7, method, relaxed, obj, -338.24811502, running time, 0.172357797623, 
i, 9, maxT, 8, method, 1, obj, -449.94313165, running time, 1.41393685341, 
i, 9, maxT, 8, method, 2, obj, -463.710301493, running time, 1.66499614716, 
i, 9, maxT, 8, method, relaxed, obj, -338.24811502, running time, 0.140719175339, 
i, 9, maxT, 9, method, 1, obj, -449.940419534, running time, 1.12320208549, 
i, 9, maxT, 9, method, 2, obj, -463.499496082, running time, 1.59877991676, 
i, 9, maxT, 9, method, relaxed, obj, -338.24811502, running time, 0.19221997261, 
i, 9, maxT, 10, method, 1, obj, -449.924146834, running time, 1.15197396278, 
i, 9, maxT, 10, method, 2, obj, -460.960466911, running time, 1.39399695396, 
i, 9, maxT, 10, method, relaxed, obj, -338.24811502, running time, 0.186543941498, 
i, 10, maxT, 1, method, 1, obj, -1135.0341475, running time, 0.360345125198, 
i, 10, maxT, 1, method, 2, obj, -1164.75289772, running time, 1.09537911415, 
i, 10, maxT, 1, method, relaxed, obj, -733.708337517, running time, 0.142010211945, 
i, 10, maxT, 2, method, 1, obj, -900.534615716, running time, 3.55098700523, 
i, 10, maxT, 2, method, 2, obj, -919.661146245, running time, 2.31552886963, 
i, 10, maxT, 2, method, relaxed, obj, -733.708337517, running time, 0.205592870712, 
i, 10, maxT, 3, method, 1, obj, -815.619738621, running time, 2.90412807465, 
i, 10, maxT, 3, method, 2, obj, -821.521011454, running time, 1.99310898781, 
i, 10, maxT, 3, method, relaxed, obj, -733.708337517, running time, 0.162441015244, 
i, 10, maxT, 4, method, 1, obj, -796.192751364, running time, 5.35178017616, 
i, 10, maxT, 4, method, 2, obj, -806.803456072, running time, 1.90669703484, 
i, 10, maxT, 4, method, relaxed, obj, -733.708337517, running time, 0.178567886353, 
i, 10, maxT, 5, method, 1, obj, -788.450216136, running time, 2.02244997025, 
i, 10, maxT, 5, method, 2, obj, -788.853309618, running time, 1.80198383331, 
i, 10, maxT, 5, method, relaxed, obj, -733.708337517, running time, 0.202327013016, 
i, 10, maxT, 6, method, 1, obj, -781.83102412, running time, 1.5122051239, 
i, 10, maxT, 6, method, 2, obj, -784.742387428, running time, 1.49275112152, 
i, 10, maxT, 6, method, relaxed, obj, -733.708337517, running time, 0.155677080154, 
i, 10, maxT, 7, method, 1, obj, -782.065974201, running time, 1.27365708351, 
i, 10, maxT, 7, method, 2, obj, -785.128327714, running time, 1.51653718948, 
i, 10, maxT, 7, method, relaxed, obj, -733.708337517, running time, 0.14727306366, 
i, 10, maxT, 8, method, 1, obj, -784.589808588, running time, 1.54496788979, 
i, 10, maxT, 8, method, 2, obj, -784.378919974, running time, 1.53093600273, 
i, 10, maxT, 8, method, relaxed, obj, -733.708337517, running time, 0.135948896408, 
i, 10, maxT, 9, method, 1, obj, -781.840183882, running time, 1.16357517242, 
i, 10, maxT, 9, method, 2, obj, -783.303646385, running time, 1.35971713066, 
i, 10, maxT, 9, method, relaxed, obj, -733.708337517, running time, 0.19220995903, 
i, 10, maxT, 10, method, 1, obj, -781.849343644, running time, 1.42025303841, 
i, 10, maxT, 10, method, 2, obj, -783.741384971, running time, 1.61121511459, 
i, 10, maxT, 10, method, relaxed, obj, -733.708337517, running time, 0.153192043304, 
i, 11, maxT, 1, method, 1, obj, -943.336092342, running time, 0.60068488121, 
